bbg_ticker,change,count,delist_date,effective_date,fund_beta,halt_flag,ipo_date,ipo_return,listing_place,number_of_cons,review_type,sector,stock_beta,stock_code,stock_name,stock_name_chinese,trade_end_date,trade_id,trade_start_date,year
194 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Properties & Construction,0.5972,194,Liu Chong Hing,廖創興企業,2018-04-16,316,2017-12-11,2018
295 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Utilities,0.5494,295,Kong Sun Hold,江山控股,2018-04-16,317,2017-12-11,2018
718 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Financials,0.547,718,Tai United Hold,太和控股,2018-04-16,318,2017-12-11,2018
750 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Properties & Construction,1.2171,750,Singyes Solar,興業太陽能,2018-04-16,319,2017-12-11,2018
989 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Properties & Construction,0.5209,989,Ground Intl Dev,廣澤國際發展,2018-04-16,320,2017-12-11,2018
1019 HK Equity,Delete,-30,,2018-03-05,0.9878,True,,,HK,483,Regular,Financials,0.9156,1019,Convoy,康宏環球,2018-04-16,321,2017-12-11,2018
1031 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Financials,0.931,1031,Kingston Fin,金利豐金融,2018-04-16,322,2017-12-11,2018
1033 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Energy,1.2315,1033,Sinopec SSC,中石化油服,2018-04-16,323,2017-12-11,2018
1045 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Telecommunications,0.6548,1045,Apt Satellite,亞太衛星,2018-04-16,324,2017-12-11,2018
1051 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Materials,0.5642,1051,G-Resources,國際資源,2018-04-16,325,2017-12-11,2018
1253 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Properties & Construction,0.4165,1253,Greenland Broad,中國綠地博大綠澤,2018-04-16,326,2017-12-11,2018
1297 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Information Technology,1.0818,1297,Sinosoft Tech,中國擎天軟件,2018-04-16,327,2017-12-11,2018
1358 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.7593,1358,PW Medtech,普華和順,2018-04-16,328,2017-12-11,2018
1389 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.2563,1389,Major Hldgs,美捷滙控股,2018-04-16,329,2017-12-11,2018
1509 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.5726,1509,Harmonicare,和美醫療,2018-04-16,330,2017-12-11,2018
1551 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Financials,0.3624,1551,Grcb,廣州農商銀行,2018-04-16,331,2017-12-11,2018
1661 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,1.1633,1661,Wisdom Sports,智美體育,2018-04-16,332,2017-12-11,2018
1836 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.4069,1836,Stella Holdings,九興控股,2018-04-16,333,2017-12-11,2018
2329 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Properties & Construction,0.5371,2329,Guorui PPT,國瑞置業,2018-04-16,334,2017-12-11,2018
2389 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.8099,2389,Bj Ent M&H,北控醫療健康,2018-04-16,335,2017-12-11,2018
2888 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Financials,1.2183,2888,StanChart,渣打集團,2018-04-16,336,2017-12-11,2018
3331 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.6878,3331,Vinda Int'l,維達國際,2018-04-16,337,2017-12-11,2018
3698 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Financials,0.5377,3698,Huishang Bank,徽商銀行,2018-04-16,338,2017-12-11,2018
6878 HK Equity,Delete,-30,,2018-03-05,0.9878,False,,,HK,483,Regular,Financials,0.8994,6878,Differ Group,鼎豐集團控股,2018-04-16,339,2017-12-11,2018
6896 HK Equity,Delete,-30,2018-04-13,2018-03-05,0.9878,False,,,HK,483,Regular,Unknown,0.5741,6896,Golden Throat,金嗓子,2018-04-13,340,2017-12-11,2018
1730563D HK Equity,Delete,-1,2018-02-06,2018-02-07,0.9882,False,,,HK,492,Interim,Industrials,0.8255,382,Welling Holding,威靈控股,2018-02-06,341,2017-11-15,2018
3886 HK Equity,Delete,-1,2017-11-24,2017-12-05,0.9953,False,,,HK,493,Interim,Unknown,0.5528,3886,Town Health,康健國際醫療,2017-11-24,342,2017-09-12,2017
6060 HK Equity,Add,2,,2017-12-04,0.9936,False,2017-09-28,9.212730318257956,HK,494,Interim,Financials,,6060,ZA Online,眾安在綫,2018-01-15,343,2017-09-28,2017
6088 HK Equity,Add,2,,2017-12-04,0.9953,False,,,HK,494,Interim,Information Technology,1.6247,6088,FIT Hon Teng,FIT Hon Teng,2018-01-15,344,2017-09-11,2017
1997 HK Equity,Add,1,,2017-11-23,0.9888,False,2017-11-23,-1.0000000000000009,HK,492,Interim,Properties & Construction,,1997,Wharf REIC,九龍倉置業,2018-01-04,345,2017-11-23,2017
1136 HK Equity,Delete,-1,2017-09-19,2017-09-20,0.9973,False,,,HK,491,Interim,Properties & Construction,1.0166,1136,TCC Int'l Hold,台泥國際集團,2017-09-19,346,2017-06-28,2017
43 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.0052,43,C.P. Pokphand,卜蜂國際,2017-10-16,347,2017-06-12,2017
136 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.0003,136,Hengten Net,恒騰網絡,2017-10-16,348,2017-06-12,2017
194 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.6508,194,Liu Chong Hing,廖創興企業,2017-10-16,349,2017-06-12,2017
295 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Utilities,0.7218,295,Kong Sun Hold,江山控股,2017-10-16,350,2017-06-12,2017
435 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.5955,435,Sunlight REIT,陽光房地產基金,2017-10-16,351,2017-06-12,2017
467 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Energy,0.9715,467,Unitedenergy Gp,聯合能源集團,2017-10-16,352,2017-06-12,2017
480 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.7752,480,Hkr Int'L,香港興業國際,2017-10-16,353,2017-06-12,2017
508 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,0.9859,508,Dingyi Gp Inv,鼎億集團投資,2017-10-16,354,2017-06-12,2017
535 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,1.1995,535,Gemdale Ppt,金地商置,2017-10-16,355,2017-06-12,2017
581 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Materials,0.3906,581,China Oriental,中國東方集團,2017-10-16,356,2017-06-12,2017
718 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,0.8827,718,Tai United Hold,太和控股,2017-10-16,357,2017-06-12,2017
845 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.858,845,Glorious Ppt H,恒盛地產,2017-10-16,358,2017-06-12,2017
878 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.7817,878,Soundwill Hold,金朝陽集團,2017-10-16,359,2017-06-12,2017
989 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,1.0465,989,Ground Intl Dev,廣澤國際發展,2017-10-16,360,2017-06-12,2017
1031 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,1.17,1031,Kingston Fin,金利豐金融,2017-10-16,361,2017-06-12,2017
1045 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Telecommunications,0.9175,1045,Apt Satellite,亞太衛星,2017-10-16,362,2017-06-12,2017
1089 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.0948,1089,Leyou Tech H,樂遊科技控股,2017-10-16,363,2017-06-12,2017
1141 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,1.1602999999999999,1141,Cmbc Capital,民銀資本,2017-10-16,364,2017-06-12,2017
1164 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Materials,1.3455,1164,Cgn Mining,中廣核礦業,2017-10-16,365,2017-06-12,2017
1212 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.583,1212,Lifestyle Int'L,利福國際,2017-10-16,366,2017-06-12,2017
1219 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.7023,1219,Tenwow Int'L,天喔國際,2017-10-16,367,2017-06-12,2017
1250 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Utilities,1.5899999999999999,1250,Be Clean Energy,北控清潔能源集團,2017-10-16,368,2017-06-12,2017
1257 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Utilities,0.5339,1257,Ceb Greentech,中國光大綠色環保,2017-10-16,369,2017-06-12,2017
1478 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.2455,1478,Q Tech,丘鈦科技,2017-10-16,370,2017-06-12,2017
1548 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.0469,1548,Genscript Bio,金斯瑞生物科技,2017-10-16,371,2017-06-12,2017
1551 HK Equity,Add,39,,2017-09-04,0.997,False,2017-06-20,0.19607843137257053,HK,492,Regular,Financials,,1551,Grcb,廣州農商銀行,2017-10-16,372,2017-06-20,2017
1569 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,-0.3211,1569,Minsheng Edu,民生教育,2017-10-16,373,2017-06-12,2017
1622 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.6751,1622,Redco Ppt,力高地產,2017-10-16,374,2017-06-12,2017
1638 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,0.3206,1638,Kaisa Group,佳兆業集團,2017-10-16,375,2017-06-12,2017
1836 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.4625,1836,Stella Holdings,九興控股,2017-10-16,376,2017-06-12,2017
1899 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Industrials,0.9962,1899,Xingda Int'L,興達國際,2017-10-16,377,2017-06-12,2017
2001 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.6657,2001,New Higher Edu,新高教集團,2017-10-16,378,2017-06-12,2017
2255 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.9808,2255,Haichang Hldg,海昌海洋公園,2017-10-16,379,2017-06-12,2017
2269 HK Equity,Add,39,,2017-09-04,0.9973,False,2017-06-13,37.13592233009708,HK,492,Regular,Unknown,,2269,Wuxi Bio,藥明生物,2017-10-16,380,2017-06-13,2017
2611 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,0.4252,2611,Gtja,國泰君安,2017-10-16,381,2017-06-12,2017
2799 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,0.7008,2799,China Huarong,中國華融,2017-10-16,382,2017-06-12,2017
3329 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Financials,0.9044,3329,Bocom Intl,交銀國際,2017-10-16,383,2017-06-12,2017
6068 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.9108,6068,Wisdom Edu Intl,睿見教育,2017-10-16,384,2017-06-12,2017
6169 HK Equity,Add,39,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.0437,6169,Yuhua Edu,宇華教育,2017-10-16,385,2017-06-12,2017
232 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,1.5939999999999999,232,AVIC Int'l,中國航空工業國際,2017-10-16,386,2017-06-12,2017
245 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Materials,1.1254,245,Cn Minsheng Fin,中國民生金融,2017-10-16,387,2017-06-12,2017
727 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.6958,727,Crownicorp,皇冠環球集團,2017-10-16,388,2017-06-12,2017
798 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,1.2119,798,CEOVU,中電光谷,2017-10-16,389,2017-06-12,2017
933 HK Equity,Delete,-15,2017-09-29,2017-09-04,0.9974,False,,,HK,492,Regular,Energy,1.0708,933,Brightoil,光匯石油,2017-09-29,390,2017-06-12,2017
1371 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.3819,1371,China LotSyn,華彩控股,2017-10-16,391,2017-06-12,2017
1387 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Properties & Construction,1.2907,1387,Renhe Comm,人和商業,2017-10-16,392,2017-06-12,2017
1606 HK Equity,Delete,-15,,2017-09-04,0.9973,False,2017-06-14,0.0,HK,492,Regular,Financials,0.396,1606,CDB Leasing,國銀租賃,2017-10-16,393,2017-06-14,2017
1608 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Utilities,0.6428,1608,VPower Group,偉能集團,2017-10-16,394,2017-06-12,2017
1685 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Industrials,0.9677,1685,Boer Power,博耳電力,2017-10-16,395,2017-06-12,2017
2014 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,1.2959,2014,Ozner Water,浩澤淨水,2017-10-16,396,2017-06-12,2017
2200 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.6453,2200,Hosa Int'l,浩沙國際,2017-10-16,397,2017-06-12,2017
2348 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.879,2348,Dawnrays Pharma,東瑞製葯,2017-10-16,398,2017-06-12,2017
3308 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Unknown,0.4244,3308,Golden Eagle,金鷹商貿集團,2017-10-16,399,2017-06-12,2017
3823 HK Equity,Delete,-15,,2017-09-04,0.9974,False,,,HK,492,Regular,Industrials,0.4812,3823,Tech Pro,德普科技,2017-10-16,400,2017-06-12,2017
1880 HK Equity,Delete,-1,2017-07-18,2017-07-19,0.9933,False,2017-05-02,0.0,HK,468,Interim,Unknown,1.0474,1880,Belle Int'l,百麗國際 ,2017-07-18,401,2017-05-02,2017
735 HK Equity,Add,1,,2017-07-18,0.9939,False,,,HK,469,Name Change,Utilities,1.1142,735,CP Clean Energy,中國電力清潔能源,2017-08-29,402,2017-04-25,2017
735 HK Equity,Delete,-1,,2017-07-18,0.9939,False,,,HK,469,Name Change,Utilities,1.1142,735,C P New Energy,中國電力新能源,2017-08-29,403,2017-04-25,2017
404 HK Equity,Delete,-5,,2017-07-11,0.9949,True,,,HK,469,Interim,Properties & Construction,0.8325,404,Hsin Chong GP,新昌集團控股,2017-08-22,404,2017-04-18,2017
1188 HK Equity,Delete,-5,,2017-07-11,0.9949,True,,,HK,469,Interim,Unknown,1.2998,1188,Hybrid Kinetic,正道集團,2017-08-22,405,2017-04-18,2017
1236 HK Equity,Delete,-5,,2017-07-11,0.9949,True,,,HK,469,Interim,Information Technology,1.1052,1236,National Agri,國農控股,2017-08-22,406,2017-04-18,2017
1378 HK Equity,Delete,-5,,2017-07-11,0.9949,True,,,HK,469,Interim,Materials,1.1244,1378,Chinahongqiao,中國宏橋,2017-08-22,407,2017-04-18,2017
2369 HK Equity,Delete,-5,,2017-07-11,0.9949,True,,,HK,469,Interim,Information Technology,1.1381999999999999,2369,Coolpad Group,酷派集團,2017-08-22,408,2017-04-18,2017
1679085D HK Equity,Delete,-1,2017-05-04,2017-06-12,0.995,False,,,HK,474,Interim,Materials,1.0397,2168,Yingde Gases,盈德氣體,2017-05-04,409,2017-03-20,2017
6863 HK Equity,Delete,-1,2017-03-24,2017-05-16,0.9963,False,,,HK,475,Interim,Unknown,0.6519,6863,Huishan Dairy,輝山乳業,2017-03-24,410,2017-02-21,2017
1612890D HK Equity,Delete,-1,2017-05-10,2017-05-11,0.9964,False,,,HK,476,Interim,Unknown,1.2161,1833,Intime,銀泰商業,2017-05-10,411,2017-02-16,2017
52 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.614,52,Fairwood Hold,Fairwood Hold,2017-04-13,412,2016-12-12,2017
95 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Properties & Construction,0.634,95,LVGEM China,綠景中國地產,2017-04-13,413,2016-12-12,2017
116 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.6339,116,Chow Sang Sang,周生生,2017-04-13,414,2016-12-12,2017
279 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,1.4996,279,Freeman FinTech,民眾金融科技,2017-04-13,415,2016-12-12,2017
1730563D HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Industrials,0.9775,382,Welling Holding,威靈控股,2017-04-13,416,2016-12-12,2017
488 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Properties & Construction,0.9159,488,Lai Sun Dev,麗新發展,2017-04-13,417,2016-12-12,2017
631 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Industrials,1.1679,631,Sany Int'l,三一國際,2017-04-13,418,2016-12-12,2017
687 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Properties & Construction,0.8647,687,HKICIM Group,香港國際建投,2017-04-13,419,2016-12-12,2017
717 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,1.8254000000000001,717,Emperor Capital,英皇證券,2017-04-13,420,2016-12-12,2017
798 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Properties & Construction,1.098,798,CEOVU,中電光谷,2017-04-13,421,2016-12-12,2017
1115 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,1.0374,1115,Tibet Water,西藏水資源,2017-04-13,422,2016-12-12,2017
1357 HK Equity,Add,27,,2017-03-06,0.9982,False,2016-12-15,0.0,HK,477,Regular,Information Technology,,1357,Meitu,美圖公司,2017-04-13,423,2016-12-15,2017
1389 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.7238,1389,Major Hldgs,美捷滙控股,2017-04-13,424,2016-12-12,2017
1458 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,-0.4728,1458,Zhou Hei Ya,周黑鴨,2017-04-13,425,2016-12-12,2017
1606 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.3977,1606,CDB Leasing,國銀租賃,2017-04-13,426,2016-12-12,2017
1608 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Utilities,1.8460999999999999,1608,VPower Group,偉能集團,2017-04-13,427,2016-12-12,2017
1610 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.7534,1610,COFCO Meat,中糧肉食,2017-04-13,428,2016-12-12,2017
2869 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.8764,2869,Greentown Ser,綠城服務,2017-04-13,429,2016-12-12,2017
3320 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.664,3320,Chinares Pharma,華潤醫藥,2017-04-13,430,2016-12-12,2017
3958 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.5705,3958,DFZQ,東方證券,2017-04-13,431,2016-12-12,2017
6066 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.6271,6066,CSC,中信建投証券,2017-04-13,432,2016-12-12,2017
6099 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.613,6099,CMSC,招商證券,2017-04-13,433,2016-12-12,2017
6178 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.6946,6178,EB Securities,光大證券,2017-04-13,434,2016-12-12,2017
6828 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Energy,0.7493,6828,BG Blue Sky,北京燃氣藍天,2017-04-13,435,2016-12-12,2017
6869 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Information Technology,0.8368,6869,YOFC,長飛光纖光纜,2017-04-13,436,2016-12-12,2017
6896 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.5375,6896,Golden Throat,金嗓子,2017-04-13,437,2016-12-12,2017
87001 HK Equity,Add,27,,2017-03-06,0.9978,False,,,HK,477,Regular,Properties & Construction,0.4629,87001,Hui Xian REIT,匯賢產業信託,2017-04-13,438,2016-12-12,2017
86 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.9479,86,Sun Hung Kai Co,新鴻基公司,2017-04-13,439,2016-12-12,2017
136 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.9509,136,Hengten Net,恒騰網絡,2017-04-13,440,2016-12-12,2017
139 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Information Technology,1.1798,139,CH Soft Power,中國軟實力,2017-04-13,441,2016-12-12,2017
217 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Materials,1.3294000000000001,217,China Chengtong,中國誠通發展集團,2017-04-13,442,2016-12-12,2017
412 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,1.3413,412,China Inno Fin,中國新金融,2017-04-13,443,2016-12-12,2017
543 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Information Technology,1.1161,543,Pacific Online,太平洋網絡,2017-04-13,444,2016-12-12,2017
715 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Properties & Construction,0.7501,715,China Oceanwide,中泛控股,2017-04-13,445,2016-12-12,2017
726 HK Equity,Delete,-23,,2017-03-06,0.9978,True,,,HK,477,Regular,Properties & Construction,,726,CM Drawin Tech,中民築友科技,2017-04-13,446,2016-12-12,2017
829 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,1.0609,829,Shenguan Hldgs,神冠控股,2017-04-13,447,2016-12-12,2017
911 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,1.1241,911,Qianhai Health,前海健康,2017-04-13,448,2016-12-12,2017
1063 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Information Technology,1.71,1063,Suncorp Tech,新確科技,2017-04-13,449,2016-12-12,2017
1068 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,1.276,1068,Yurun Food,雨潤食品,2017-04-13,450,2016-12-12,2017
1072 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Industrials,1.3293,1072,Dongfang Elec,東方電氣,2017-04-13,451,2016-12-12,2017
1101 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Industrials,1.5392000000000001,1101,Huarong Energy,華榮能源,2017-04-13,452,2016-12-12,2017
1219 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.735,1219,Tenwow Int'l,天喔國際,2017-04-13,453,2016-12-12,2017
1415 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Industrials,1.4369,1415,Cowell,高偉電子,2017-04-13,454,2016-12-12,2017
2066 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Financials,0.738,2066,ShengjingBank,盛京銀行,2017-04-13,455,2016-12-12,2017
2211 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.8891,2211,Uni Health,大健康國際,2017-04-13,456,2016-12-12,2017
2255 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,1.0611,2255,Haichang Hldg,海昌海洋公園,2017-04-13,457,2016-12-12,2017
2326 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,1.3092,2326,BEP Int'l Hold,百靈達國際控股,2017-04-13,458,2016-12-12,2017
3315 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Information Technology,1.1192,3315,Goldpac Group,金邦達寶嘉,2017-04-13,459,2016-12-12,2017
3368 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Unknown,0.9568,3368,Parkson Group,百盛集團,2017-04-13,460,2016-12-12,2017
3788 HK Equity,Delete,-23,,2017-03-06,0.9978,False,,,HK,477,Regular,Materials,0.8599,3788,China Hanking,中國罕王,2017-04-13,461,2016-12-12,2017
587 HK Equity,Delete,-1,,2017-01-06,0.9993,True,,,HK,473,Interim,Unknown,1.1796,587,Hua Han Health,華瀚健康,2017-02-17,462,2016-10-14,2017
1819 HK Equity,Delete,-1,,2016-12-08,0.9999,True,,,HK,474,Interim,Unknown,0.6787,1819,Fuguiniao,富貴鳥,2017-01-19,463,2016-09-15,2016
1631059D HK Equity,Delete,-1,2016-10-24,2016-10-25,0.9991,False,2016-08-03,0.4237288135593209,HK,475,Interim,Unknown,1.0543,1968,Peak Sport,匹克體育,2016-10-24,464,2016-08-03,2016
1658 HK Equity,Add,1,,2016-10-13,0.9988,False,2016-09-28,0.21008403361344463,HK,476,Interim,Financials,,1658,PSBC,郵儲銀行,2016-11-24,465,2016-09-28,2016
2618 HK Equity,Delete,-1,2016-09-22,2016-09-23,0.9993,False,,,HK,475,Interim,Information Technology,0.8279,2618,TCL Comm,TCL通訊,2016-09-22,466,2016-07-04,2016
139 HK Equity,Add,25,,2016-09-05,1.0018,False,,,HK,476,Regular,Information Technology,1.199,139,CH Soft Power,中國軟實力,2016-10-17,467,2016-06-13,2016
345 HK Equity,Add,25,,2016-09-05,1.0018,False,,,HK,476,Regular,Unknown,0.6683,345,Vitasoy Int'l,Vitasoy Int'l,2016-10-17,468,2016-06-13,2016
412 HK Equity,Add,25,,2016-09-05,1.0018,False,,,HK,476,Regular,Financials,1.3377,412,China Inno Fin,中國新金融,2016-10-17,469,2016-06-13,2016
460 HK Equity,Add,25,,2016-09-05,1.0018,False,,,HK,476,Regular,Unknown,0.5044,460,Sihuan Pharm,四環醫藥,2016-10-17,470,2016-06-13,2016
521 HK Equity,Add,25,,2016-09-05,1.0018,False,,,HK,476,Regular,Information Technology,1.2121,521,HNA Holding,海航實業股份,2016-10-17,471,2016-06-13,2016
